,Recipe_name,Recipe_ingredients,Recipe_instructions,Recipe_img_link
10,Cuban-Inspired Slow Cooker Chicken,"['1 large onion, chopped', '3 eaches skinless, boneless chicken breast halves, or more to taste', '1 (14.5 ounce) can black beans, rinsed and drained', '1 (14.5 ounce) can petite diced tomatoes', '2 cups chicken broth', '1 cup sour orange juice', '¾ cup dry white wine', '2 cloves garlic, pressed, or more to taste', '1 tablespoon ground cumin', '1 tablespoon dried oregano', '2 teaspoons kosher salt', '1 teaspoon ground black pepper', '½ teaspoon ground thyme', '1 cup water', '⅔ cup medium-grain white rice']","['Place 1/2 of the chopped onion in the bottom of a slow cooker. Place chicken breasts on top and cover with remaining onion. Add black beans and diced tomatoes.', 'Whisk together broth, orange juice, wine, garlic, cumin, oregano, salt, pepper, and thyme; pour into the slow cooker.', 'Cover and cook until chicken is falling apart and no longer pink in the center, on Low for 6 to 8 hours or High for 3 to 4 hours. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Meanwhile, bring water and rice to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until rice is tender and water has been absorbed, 20 to 25 minutes.', 'Shred chicken and return meat to the pot for 5 to 10 minutes to allow it to soak up the juices. Serve over cooked rice.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8066836.jpg
11,"Marinated Cucumber, Onion, and Tomato Salad","['1 cup water', '½ cup distilled white vinegar', '¼ cup vegetable oil', '¼ cup sugar', '2 teaspoons salt', '1 tablespoon fresh, coarsely ground black pepper', '3 medium (blank)s cucumbers, peeled and sliced 1/4-inch thick', '3 eaches tomatoes, cut into wedges', '1  onion, sliced and separated into rings']","['Whisk water, vinegar, oil, sugar, salt, and pepper together in a large bowl until smooth; add cucumbers, tomatoes, and onion and stir to coat.', 'Cover bowl with plastic wrap; refrigerate at least 2 hours.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1143759.jpg
12,Emily's Excellent Taco Casserole,"['6 cups corn tortilla chips', '2 cups vegetarian chili with beans', '1 cup shredded Cheddar cheese', '2 cups shredded lettuce', '2 small slice (blank)s roma (plum) tomatoes, chopped', '½ cup salsa', '¼ cup sour cream']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Place chips in the bottom of a 9 inch square baking dish. Pour chili straight from the can over the chips. Sprinkle shredded cheese over the top.', 'Bake for 20 to 25 minutes in the preheated oven, until chili is bubbling and cheese is melted. Top with lettuce, tomato, sour cream and salsa in the pan, or after serving (if people are picky).']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1411575.jpg
13,Hawaiian Banana Nut Bread,"['3 cups all-purpose flour', '¾ teaspoon salt', '1 teaspoon baking soda', '2 cups white sugar', '1 teaspoon ground cinnamon', '1 cup chopped walnuts', '3  large eggs eggs, beaten', '1 cup vegetable oil', '2 cups mashed very ripe banana', '1 (8 ounce) can crushed pineapple, drained', '2 teaspoons vanilla extract', '1 cup flaked coconut', '1 cup maraschino cherries, diced']","['Preheat oven to 350 degrees F (175 degrees C). Grease two 9x5 inch loaf pans.', 'In a large mixing bowl, combine the flour, salt, baking soda, sugar and cinnamon. Add the walnuts, eggs, oil, banana, pineapple, vanilla, coconut and cherries; stir just until blended. Pour batter evenly into the prepared pans.', 'Bake at 350 degrees F (175 degrees C) for 60 minutes, or until a tooth pick inserted into the center of a loaf comes out clean. Cool in the pan for 10 minutes, then remove to a wire rack to cool completely.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F727738.jpg
14,Eggplant Parmesan II,"['3 eggplant, peeled (yield from 1.25 lb)s eggplant, peeled and thinly sliced', '2  large eggs eggs, beaten', '4 cups Italian seasoned bread crumbs', '6 cups spaghetti sauce, divided', '1 (16 ounce) package mozzarella cheese, shredded and divided', '½ cup grated Parmesan cheese, divided', '½ teaspoon dried basil']","['Preheat oven to 350 degrees F (175 degrees C).', 'Dip eggplant slices in egg, then in bread crumbs.  Place in a single layer on a baking sheet.  Bake in preheated oven for 5 minutes on each side.', 'In a 9x13 inch baking dish spread spaghetti sauce to cover the bottom.  Place a layer of eggplant slices in the sauce.  Sprinkle with mozzarella and Parmesan cheeses.  Repeat with remaining ingredients, ending with the cheeses.  Sprinkle basil on top.', 'Bake in preheated oven for 35 minutes, or until golden brown.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5068161.jpg
15,Moscow Mule Cocktail,"['1\u2009½ fluid ounces vodka', '½ fluid ounce lime juice', '1 cup ice cubes', '½ cup ginger beer', '1  lime wedge for garnish']","['Pour vodka and lime juice into a mug; add ice cubes and ginger beer. Stir to combine.', 'Drop a lime wedge into the mug for garnish.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6440296.jpg
16,Fried Rice Restaurant Style,"['2 cups enriched white rice', '4 cups water', '⅔ cup chopped baby carrots', '½ cup frozen green peas', '2 tablespoons vegetable oil', '2  large eggs eggs', '3 tablespoons soy sauce to taste', '2 tablespoons sesame oil, to taste']","['In a saucepan, combine rice and water. Bring to a boil. Reduce heat, cover, and simmer for 20 minutes.', 'In a small saucepan, boil carrots in water about 3 to 5 minutes. Drop peas into boiling water, and drain.', 'Heat wok over high heat. Pour in oil, then stir in carrots and peas; cook about 30 seconds. Crack in eggs, stirring quickly to scramble eggs with vegetables. Stir in cooked rice. Shake in soy sauce, and toss rice to coat. Drizzle with sesame oil, and toss again.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3770230.jpg
17,Spaghetti Sauce with Fresh Tomatoes,"['¼ cup olive oil', '1  onion, chopped', '½ teaspoon garlic powder', '4 pounds fresh tomatoes, peeled and chopped', '1 tablespoon white sugar', '1 tablespoon dried basil', '1 tablespoon dried parsley', '1 teaspoon salt']","['Heat olive oil in a large skillet over medium heat. Add onion and garlic powder; cook and stir until onion is translucent, about 5 minutes. Add tomatoes, sugar, basil, parsley, and salt. Bring to a boil. Reduce heat and simmer, stirring occasionally, until sauce thickens, 1 to 2 hours.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3733395.jpg
18,Baked Buttermilk Donuts,"['1  serving cooking spray', '2 cups all-purpose flour', '1 cup white sugar', '2 tablespoons cornstarch', '1 teaspoon baking powder', '1 teaspoon freshly grated nutmeg', '½ teaspoon salt', '1 cup buttermilk', '2  large eggs eggs', '1 teaspoon baking soda', '1 teaspoon vanilla extract', '4 tablespoons vegetable shortening, melted and cooled slightly', '1 cup sifted powdered sugar']","['Preheat the oven to 375 degrees F (190 degrees C). Adjust an oven rack to upper-middle position. Spray a donut pan with cooking spray.', 'Sift flour, sugar, cornstarch, baking powder, nutmeg, and salt together in a large mixing bowl.', 'Whisk buttermilk, eggs, baking soda, and vanilla extract together in a smaller bowl.', 'Pour melted and cooled shortening into flour mixture and stir until absorbed. Add buttermilk mixture and mix well. Let batter rest for 10 to 15 minutes.', ""Pour a scant tablespoon of batter into the well of each donut cup in the prepared pan. Use the back of a spoon to distribute batter evenly across the bottom of each; you won't use up all of the batter in this batch."", 'Bake in the preheated oven on the upper-middle rack until golden brown, 12 to 15 minutes. Remove from the oven; let cool in the pan for 2 to 3 minutes before removing onto a wire rack.', 'Place powdered sugar into a small paper bag. Toss warm doughnuts in powdered sugar to coat.', 'Spray the donut pan with cooking spray again. Spoon batter in tablespoonfuls into the hot pan for the next batch.', 'Bake donuts in the preheated oven on the upper-middle rack until golden brown, 12 to 15 minutes. Let cool for 2 to 3 minutes before removing from the pan and toss in powdered sugar.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8147254.jpg
19,Quick and Easy Alfredo Sauce,"['½ cup butter', '1 (8 ounce) package cream cheese', '2 teaspoons garlic powder', '2 cups milk', '6 ounces grated Parmesan cheese', '⅛ teaspoon ground black pepper']","['Melt butter in a medium, non-stick saucepan over medium heat.  Add cream cheese and garlic powder, stirring with wire whisk until smooth.  Add milk, a little at a time, whisking to smooth out lumps.  Stir in Parmesan and pepper.  Remove from heat when sauce reaches desired consistency.  Sauce will thicken rapidly, thin with milk if cooked too long.  Toss with hot pasta to serve.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5149928.jpg
20,Tomato and Basil Quiche,"['1 tablespoon olive oil', '1  onion, sliced', '2 medium whole (2-3/5"" dia) (blank)s tomatoes, peeled and sliced', '2 tablespoons all-purpose flour', '2 teaspoons dried basil', '3  large eggs eggs, beaten', '½ cup milk', '½ teaspoon salt and pepper to taste', '1 (9 inch) unbaked deep dish pie crust', '1\u2009½ cups shredded Colby-Monterey Jack cheese, divided']","['Preheat oven to 400 degrees F (200 degrees C). Bake pie shell in preheated oven for 8 minutes.', 'Meanwhile, heat olive oil in a large skillet over medium heat. Saute onion until soft; remove from skillet. Sprinkle tomato slices with flour and basil, then saute 1 minute on each side. In a small bowl, whisk together eggs and milk. season with salt and pepper.', 'Spread 1 cup shredded cheese in the bottom of pie crust. Layer onions over cheese, and top with tomatoes. Cover with egg mixture. sprinkle top with remaining 1/2 cup shredded cheese.', 'Bake in preheated oven for 10 minutes. Reduce heat to 350 degrees F (175 degrees C), and bake for 15 to 20 minutes, or until filling is puffed and golden brown. Serve warm.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F28584.jpg
21,Basic Cream Cheese Frosting,"['½ cup butter, softened', '8 ounces cream cheese', ""4 cups confectioners' sugar"", '2 teaspoons vanilla extract']","['Beat softened butter and cream cheese until well blended.', 'Add powdered sugar and vanilla. Beat until creamy.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5348159.jpg
22,Grilled Salmon I,"['1\u2009½ pounds salmon fillets', '½ teaspoon lemon pepper to taste', '¼ teaspoon garlic powder to taste', '½ teaspoon salt to taste', '⅓ cup soy sauce', '⅓ cup brown sugar', '⅓ cup water', '¼ cup vegetable oil']","['Season salmon fillets with lemon pepper, garlic powder, and salt.', 'In a small bowl, stir together soy sauce, brown sugar, water, and vegetable oil until sugar is dissolved. Place fish in a large resealable plastic bag with the soy sauce mixture, seal, and turn to coat. Refrigerate for at least 2 hours.', 'Preheat grill for medium heat.', 'Lightly oil grill grate. Place salmon on the preheated grill, and discard marinade. Cook salmon for 6 to 8 minutes per side, or until the fish flakes easily with a fork.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F800839.jpg
23,Wedding Gift Spaghetti Sauce,"['½ cup butter', '3 tablespoons olive oil', '1 large onion, chopped', '3 cloves garlic, chopped', '1 pound ground beef', '1 pound mild sausage', '4 teaspoons Italian seasoning', '2 teaspoons salt', '2 teaspoons dried rosemary', '1\u2009½ teaspoons dried oregano', '½ teaspoon ground black pepper', '76 fluid ounces water', '1 (29 ounce) can tomato puree', '3 (6 ounce) cans tomato paste']","['Heat butter and olive oil together with onion and garlic in a large pot over medium heat; cook and stir ground beef and sausage in the onion mixture until browned and crumbly, 10 to 15 minutes. Stir Italian seasoning, salt, rosemary, oregano, and black pepper into ground beef-sausage mixture; simmer for 20 minutes.', 'Pour water, tomato puree, and tomato paste into ground beef-sausage mixture; simmer, stirring occasionally, over low heat until flavors have combined, at least 2 hours.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1026419.jpg
